(1.95, -0.392, -2.435)
1.3531673, -0.15651442, -2.7642703, 0.7839573
1.3915634, -0.17266482, -2.7264886, 0.21645015
1.4206387, -0.19304627, -2.6967628, 0.1193174
1.4395672, -0.20312355, -2.6789725, 0.13190868
1.4513943, -0.21266076, -2.6696498, 0.111522794
1.4668033, -0.21949777, -2.6653633, 0.07494812
1.4785266, -0.22175798, -2.6672664, 0.064455375
1.4866503, -0.22691795, -2.6692636, 0.04017219
1.500666, -0.23310316, -2.6760862, 0.041071568
1.5140997, -0.24104612, -2.680522, -0.086340226
1.5259221, -0.25502297, -2.6804311, -0.008693981
1.5341486, -0.27056956, -2.6813526, -0.0011991698
1.5448719, -0.28385967, -2.6838012, 0.0005995849
1.558348, -0.29595894, -2.6867297, 0.025182566
1.5706484, -0.313535, -2.6854079, -0.05336306
1.5838689, -0.33207664, -2.6823077, -0.03777385
1.6186644, -0.34871233, -2.6669362, 0.06595434
1.6248677, -0.36002365, -2.6676219, 0.1268122
1.6296543, -0.3675964, -2.669111, 0.10642632
1.6330683, -0.37272888, -2.669051, 0.09443463
1.5130624, -0.3755981, -2.7408333, 0.13340764
1.5148834, -0.37369758, -2.7411065, 0.13340764
1.5155513, -0.3743361, -2.7409675, 0.13670535
1.5127798, -0.37431592, -2.740642, 0.13940349
1.5125068, -0.37445545, -2.741593, 0.12981014
1.5568929, -0.37905726, -2.7136548, 0.12651242
1.5571507, -0.37776628, -2.713162, 0.11781844
1.5604937, -0.37799513, -2.7139418, 0.14060266
1.6148065, -0.3763737, -2.6860363, 0.14210163
1.6068475, -0.37755382, -2.6845686, 0.16908294
1.5588713, -0.37345073, -2.7169688, 0.10882466
1.5593544, -0.37387568, -2.7184138, 0.112721965
1.5595471, -0.37527552, -2.718296, 0.11482051
1.5597663, -0.37337816, -2.719511, 0.115420096
1.560614, -0.3731452, -2.7195985, 0.123514496
1.5598682, -0.3735461, -2.719519, 0.10942425
1.5634, -0.37331924, -2.7202291, 0.12531325
